id,preco
64615,5393.93
83338,15867.16
26411,4890.92
62530,1116.04
11665,6718.84
49924,7380.9
76008,2865.25
64433,4773.68
29534,2878.13
5147,3635.79
38761,16031.13
95016,5673.34
93157,16504.04
4732,1379.7
85309,1247.08
89575,5558.22
79720,8494.64
37177,3401.02
10926,2125.17
82878,3413.45
29405,1105.47
27572,11770.28
65544,7617.71
79279,5974.14
44565,3217.32
21321,14809.65
29420,4026.26
25775,2131.56
7707,2021.39
18326,1260.64
61881,12882.55
3137,10477.56
48944,2512.56
12201,888.47
73928,4718.11
64893,8186.16
24821,2103.08
38089,4755.91
64260,13341.61
64583,6493.4
86355,1730.52
37908,19572.35
88714,2079.0
26138,3046.07
13103,3190.07
12834,1848.11
35462,11190.47
56008,13415.33
56359,10209.53
98246,3721.6
39224,13127.06
49151,7172.59
98025,816.1
32290,1591.49
73444,4975.7
13046,10246.62
1256,9883.25
81087,5106.95
43393,12159.8
19602,2478.59
27229,531.95
71855,12766.49
59106,1272.47
97575,989.73
27192,3480.58
94997,4710.2
13978,1165.19
42836,1205.1
60711,2077.9
90360,2085.03
11704,12080.28
94494,2638.0
51701,3085.72
4173,1016.3
88536,1535.66
15114,1269.03
55211,15564.51
98876,1805.27
6355,12184.78
89441,5580.7
21219,3039.26
97225,878.39
56488,953.14
17539,11471.67
8919,5874.8
30882,3391.02
44297,4752.36
87122,8920.87
54683,1058.21
71165,8722.3
79467,2574.31
357,832.54
88445,7014.87
45201,3517.6
99530,1921.5
124,3517.1
48775,7941.22
32943,3552.21
6388,5962.2
42029,8536.58
80467,12645.65
26779,18735.79
72867,1818.1
18173,7586.56
165,1088.94
54818,10048.5
82234,2898.14
67460,2813.06
37387,8943.99
37190,1513.45
3089,6899.63
12364,2145.2
23686,6658.74
18318,10958.37
72546,2707.83
20544,8070.5
76180,8017.67
97445,1173.23
46672,10885.08
90271,5202.12
64562,1926.95
88464,13044.95
3145,3174.23
93345,2464.16
55997,2550.87
89230,5775.7
73332,6563.44
26644,4326.64
90720,16277.28
46411,16089.29
19035,1279.5
29934,8489.52
61568,3505.05
13456,9472.15
46870,12338.89
75143,8820.73
96780,12983.78
58543,6758.52
64721,1730.77
54385,21016.84
83422,3108.56
75827,13778.77
67593,6240.4
48256,2449.03
339,2027.83
42700,4651.92
38985,1670.63
65342,15930.35
79065,1513.54
39184,2703.65
75329,4584.58
66812,12686.8
88593,2717.07
55508,2469.73
86624,5332.49
986,5894.5
49405,3449.58
16573,7785.18
30534,2438.33
82815,3520.81
93810,10937.06
98307,3768.33
44277,2128.54
43707,7239.38
78367,8906.7
23136,4339.02
35563,6917.5
48952,10437.96
17897,2209.88
37406,1779.07
33764,1011.96
98714,1351.71
57125,4318.43
8898,11521.1
2220,1608.55
5528,7624.42
97910,17405.75
48767,6235.57
29443,3941.42
9784,13344.35
52811,7221.98
19977,5034.61
21385,4519.34
16160,2272.51
17547,1958.24
24895,1072.71
49866,2638.77
99246,2007.4
23670,1039.81
26433,3175.7
78608,3332.15
39555,2816.59
15220,6924.55
72930,4152.82
44723,3826.37
82735,1031.15
210,2218.6
19889,7960.98
35527,6196.65
82442,9603.02
7361,6278.84
31730,6533.29
47888,3097.37
92281,3944.7
77089,2833.38
60091,874.02
21611,2870.47
17261,14019.02
17877,11230.16
84385,1699.07
59538,19319.73
31891,9102.81
37372,10734.78
31246,2857.36
11715,762.87
73052,1023.32
34928,10100.63
97375,2677.53
4742,3021.39
28106,720.6
23455,2315.62
66370,9516.35
77127,2637.66
88184,1229.91
97839,2649.36
91020,2405.99
92204,13022.7
55369,6900.65
36278,6473.22
75455,1289.11
98922,1483.31
10998,3365.44
70197,7076.61
9526,4347.82
96721,962.27
84807,7932.26
60937,6606.73
68827,3246.13
69890,4063.0
56977,5241.12
91954,3872.04
27502,4442.18
66600,1962.11
18764,1594.37
55830,2043.08
65358,2986.84
66128,1836.11
95977,5925.5
7879,7317.8
19230,1603.97
8901,4614.93
10076,6376.96
73587,7715.33
49542,10725.1
83638,2386.01
71993,14666.32
8335,3636.56
64305,4125.28
21422,1640.05
76161,21464.3
1352,1673.51
92913,12424.1
45774,13321.82
73676,4651.42
37695,4909.21
67411,4746.52
3387,5260.21
65726,492.77
63302,12443.66
39612,10368.38
82713,1809.71
31347,3232.12
43550,3897.58
98034,2157.09
98181,5541.52
26115,8720.73
53224,1161.61
4023,13528.83
43344,3513.1
21698,7899.18
58628,10099.38
22072,2890.86
60677,2404.82
93478,9220.75
44992,1995.67
63165,6284.99
50425,2288.15
48236,6156.2
47663,7990.88
66532,5375.17
17420,9038.45
76512,3237.24
1244,21312.28
47132,9099.23
72096,7901.67
19395,3488.27
25474,3532.47
44503,4236.29
10970,4624.37
33094,1061.78
57114,5655.26
37991,10917.23
66813,19513.86
97888,4357.38
13206,3874.1
5399,17204.69
79147,14263.42
27494,1481.52
39822,3174.41
80537,8728.53
27200,9674.81
95517,9468.1
44056,8179.09
42954,2187.62
68745,2070.77
42971,14085.6
6883,3635.85
44641,1590.79
11883,1521.8
48354,11868.46
54568,1724.02
99178,9527.88
20683,5072.2
3760,13390.18
82870,4010.48
41843,2297.47
31149,5965.56
90750,5573.74
17145,4868.77
59831,7012.69
35603,6624.44
8811,12587.1
88787,5832.14
58921,7148.79
32557,6951.46
65940,1606.0
98099,14913.77
97462,11324.26
5004,16383.74
54093,10923.39
5003,21260.4
66515,1747.87
53903,1333.77
56832,3225.19
6676,3130.52
73495,3137.67
16109,12178.99
42736,10648.66
20221,6411.42
68304,6606.25
92692,1214.7
6451,1489.41
69761,2595.05
10978,6070.0
31454,4083.76
15486,14760.31
51920,6424.39
16263,9471.72
57877,13062.31
73183,5249.53
36592,715.01
85092,2040.75
61012,2267.63
62706,1720.95
88758,1956.44
75184,11215.34
88918,5748.48
18939,19253.55
58375,6787.72
41480,3482.06
85128,7395.21
33411,13369.1
61264,3634.03
44493,6510.34
41254,1728.27
65312,10650.17
64696,3415.27
53366,2855.15
48710,6274.06
27269,5363.89
8961,1654.66
45062,6219.96
29745,4126.45
66595,4297.31
96820,5799.85
63511,15490.34
55649,2951.33
47733,3168.61
71378,1648.19
35413,12687.16
40886,4029.82
22357,14615.87
69558,2567.54
52893,672.8
44858,848.57
8460,3207.2
98415,4744.96
87133,1340.0
24997,9994.37
8295,793.92
67116,3865.74
72906,9259.66
32131,4600.19
51681,3748.14
86828,17251.03
14747,5899.08
35731,3258.62
13379,9401.02
31414,4084.23
12321,10889.38
53286,2069.97
78041,2601.73
87558,1114.22
57347,16791.44
57588,1320.29
16053,14179.84
66772,6095.59
1082,6069.63
30072,5991.1
2370,5665.19
94236,1427.0
9277,8498.2
94618,7918.88
8451,17209.18
54447,2440.44
61863,4967.54
3138,20838.12
49826,1217.21
92566,897.88
39403,3410.96
38208,9163.88
97159,11993.97
73216,10330.47
28048,4686.83
18796,7300.65
27038,1230.32
35350,6590.03
57081,12573.34
25101,8990.13
43319,9575.62
53155,10165.45
90823,12880.21
48088,1597.36
88055,1827.37
36798,1103.51
53947,7551.99
66349,3190.7
20507,3558.12
48215,4833.25
75826,6787.71
24464,1965.14
13079,697.63
42634,4473.72
34581,2975.31
82832,1843.22
19490,2154.89
47933,1555.93
44170,7683.49
99399,964.25
85881,7950.2
88183,9291.78
59356,4119.68
67276,5263.16
33374,5015.21
41154,1678.96
71506,8371.14
3479,7778.9
27940,2851.09
30947,15077.85
3799,8249.15
26594,12094.83
28659,4098.52
75815,4705.91
46691,1709.86
89786,1765.21
10323,7450.71
66941,5312.72
85065,2833.81
9778,3129.3
10619,2451.44
36125,3442.8
55987,9538.38
38019,4856.94
19868,8038.17
53803,11840.24
3979,1962.35
62287,11214.41
89031,1287.44
56152,6768.0
19916,747.35
20649,14012.28
76405,23850.71
17834,14484.16
82081,826.31
9548,2159.98
70470,1476.95
83793,10576.96
32098,1755.22
2945,796.42
66787,7301.97
77300,2719.5
48527,3195.69
